Class,Message,,,,,,,,,,
prsnl,"Hi [Name], just wanted to say hello and check in on how you're doing.",,,,,,,,,,
prsnl,I hope this message finds you well. I've been thinking about you and wanted to say hi.,,,,,,,,,,
prsnl,Happy birthday! Hope you have an amazing day filled with joy and celebration.,,,,,,,,,,
prsnl,Thanks for being such a great friend. I really appreciate your support and kindness.,,,,,,,,,,
,,,,,,,,,,,
prsnl,I miss you and can't wait until we can hang out again.,,,,,,,,,,
,,,,,,,,,,,
prsnl,Just wanted to send a quick message to say thank you for all that you do. You're amazing!,,,,,,,,,,
,,,,,,,,,,,
prsnl,How's everything going with work/school/family/etc.? Let me know if there's anything I can do to help.,,,,,,,,,,
,,,,,,,,,,,
prsnl,I heard about your recent accomplishment and just wanted to say congratulations!,,,,,,,,,,
,,,,,,,,,,,
prsnl,I've been feeling a bit down lately and could use some encouragement. Would you be willing to chat or hang out soon?,,,,,,,,,,
,,,,,,,,,,,
prsnl,It's been too long since we last caught up. Let's plan a time to get together soon.,,,,,,,,,,
,,,,,,,,,,,
prsnl,I'm so grateful to have you in my life. You make everything better.,,,,,,,,,,
,,,,,,,,,,,
prsnl,Thinking of you and sending good vibes your way.,,,,,,,,,,
,,,,,,,,,,,
prsnl,I can't stop thinking about that funny thing you said/did the other day. You always make me laugh.,,,,,,,,,,
,,,,,,,,,,,
prsnl,I've been meaning to tell you how much I appreciate your friendship. You always know how to make me feel better.,,,,,,,,,,
,,,,,,,,,,,
prsnl,Congratulations on your new job/apartment/relationship/etc.! So happy for you.,,,,,,,,,,
,,,,,,,,,,,
prsnl,I've been struggling with [issue] lately and was wondering if you had any advice or tips.,,,,,,,,,,
,,,,,,,,,,,
prsnl,I wanted to apologize for my behavior the other day. I know I was out of line and shouldn't have said what I did.,,,,,,,,,,
,,,,,,,,,,,
prsnl,I'm going through a tough time right now and could use some extra support. Would you be willing to listen or lend a shoulder to cry on?,,,,,,,,,,
,,,,,,,,,,,
prsnl,Just wanted to say thank you for being there for me during [difficult time]. Your support meant the world to me.,,,,,,,,,,
,,,,,,,,,,,
prsnl,I'm sorry to hear about what you're going through. Please know that I'm here for you if you ever need to talk or vent.,,,,,,,,,,
,,,,,,,,,,,
prsnl,Happy anniversary! Wishing you and [partner's name] all the best.,,,,,,,,,,
,,,,,,,,,,,
prsnl,You're such an inspiration to me. Thank you for being such a positive role model.,,,,,,,,,,
,,,,,,,,,,,
prsnl,I hope you're having a great day so far. Sending lots of love and good energy your way.,,,,,,,,,,
,,,,,,,,,,,
prsnl,It's been ages since we last caught up. Let's schedule a phone call or video chat soon.,,,,,,,,,,
,,,,,,,,,,,
prsnl,I wanted to say thank you for your help with [project/task]. I couldn't have done it without you.,,,,,,,,,,
,,,,,,,,,,,
prsnl,I'm so proud of you for [accomplishment]. Keep up the amazing work!,,,,,,,,,,
,,,,,,,,,,,
prsnl,You always know how to make me feel better. Thanks for being such a great listener.,,,,,,,,,,
,,,,,,,,,,,
prsnl,Just wanted to remind you how amazing you are. Keep shining!,,,,,,,,,,
,,,,,,,,,,,
prsnl,I miss our conversations and can't wait until we can chat again.,,,,,,,,,,
,,,,,,,,,,,
prsnl,Sending you a virtual hug! Hope you're doing well.,,,,,,,,,,
,,,,,,,,,,,
prsnl,I'm so lucky to have you as my friend/partner/family member/etc.,,,,,,,,,,
,,,,,,,,,,,
prsnl,You're so talented and creative. Keep pursuing your passions!,,,,,,,,,,
,,,,,,,,,,,
prsnl,How's your day going so far? Anything exciting happening?,,,,,,,,,,
,,,,,,,,,,,
prsnl,"Thanks for always being there for me, even when things get tough.",,,,,,,,,,
,,,,,,,,,,,
prsnl,I appreciate your honesty and openness. It means a lot to me.,,,,,,,,,,
,,,,,,,,,,,
prsnl,Thinking of you and wishing you all the best.,,,,,,,,,,
,,,,,,,,,,,
prsnl,I'm sorry if I've been distant lately. I've been going through a lot,,,,,,,,,,
prsnl,You're such an amazing [parent/child/sibling/etc.]. Your love and support mean the world to me.,,,,,,,,,,
,,,,,,,,,,,
prsnl,Let's plan a movie night or game night soon. I could use some fun and relaxation with you.,,,,,,,,,,
,,,,,,,,,,,
prsnl,"I'm sorry if I've been distant lately. It's not you, it's me. I'm going through some personal stuff and trying to figure things out.",,,,,,,,,,
,,,,,,,,,,,
prsnl,You have such a kind and generous heart. Thank you for being such a giving person.,,,,,,,,,,
,,,,,,,,,,,
prsnl,I'm here to cheer you on and celebrate your accomplishments. You deserve all the success in the world.,,,,,,,,,,
,,,,,,,,,,,
prsnl,Just wanted to let you know that I appreciate you and all that you do.,,,,,,,,,,
,,,,,,,,,,,
